"ISSUE_SEVERITY_RANK","ISSUE_SEVERITY","SCORE","PROBLEM_TITLE","CVE","CVE_URL","CWE","PROJECT_NAME","PROJECT_URL","EXPLOIT_MATURITY","COMPUTED_FIXABILITY","FIRST_INTRODUCED","PRODUCT_NAME","ISSUE_URL","ISSUE_STATUS_INDICATOR","ISSUE_TYPE"
3,"High",830,"SQL Injection","[]","[]","[""CWE-89""]","vdharmava/Venu-SAST-RFP-Grok-JS-TS(main)","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83",,"Not Applicable","2025-06-24 03:54:04.769","Snyk Code","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83#issue-04faa4fe-cd50-4a90-916d-9328bcd55526","Open","Vulnerability"
3,"High",830,"SQL Injection","[]","[]","[""CWE-89""]","vdharmava/Venu-SAST-RFP-Grok-JS-TS(main)","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83",,"Not Applicable","2025-06-24 03:54:04.769","Snyk Code","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83#issue-76c3e2b0-0f27-4ca1-8b42-c3d30a93a0c1","Open","Vulnerability"
3,"High",830,"SQL Injection","[]","[]","[""CWE-89""]","vdharmava/Venu-SAST-RFP-Grok-JS-TS(main)","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83",,"Not Applicable","2025-06-24 03:54:04.769","Snyk Code","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83#issue-f0b30865-1b59-4a42-9568-c8324f28eb9f","Open","Vulnerability"
3,"High",830,"SQL Injection","[]","[]","[""CWE-89""]","vdharmava/Venu-SAST-RFP-Grok-JS-TS(main)","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83",,"Not Applicable","2025-06-24 03:54:04.769","Snyk Code","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83#issue-e9cfa513-146c-4a93-ac58-0c69fc4f13a7","Open","Vulnerability"
3,"High",830,"SQL Injection","[]","[]","[""CWE-89""]","vdharmava/Venu-SAST-RFP-Grok-JS-TS(main)","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83",,"Not Applicable","2025-06-24 03:54:04.769","Snyk Code","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83#issue-bafbb002-1c7a-4d4b-9c13-1ed297ff2141","Open","Vulnerability"
3,"High",824,"Cross-site Scripting (XSS)","[]","[]","[""CWE-79""]","vdharmava/Venu-SAST-RFP-Grok-JS-TS(main)","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83",,"Not Applicable","2025-06-24 03:54:04.769","Snyk Code","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83#issue-38e38788-7410-480b-ac93-23bd3f1e545b","Open","Vulnerability"
3,"High",824,"Cross-site Scripting (XSS)","[]","[]","[""CWE-79""]","vdharmava/Venu-SAST-RFP-Grok-JS-TS(main)","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83",,"Not Applicable","2025-06-24 03:54:04.769","Snyk Code","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83#issue-df337d28-2cfb-4b5f-a440-d8957084757e","Open","Vulnerability"
3,"High",824,"Cross-site Scripting (XSS)","[]","[]","[""CWE-79""]","vdharmava/Venu-SAST-RFP-Grok-JS-TS(main)","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83",,"Not Applicable","2025-06-24 03:54:04.769","Snyk Code","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83#issue-6851c90c-3318-4951-a2f8-790da4b4a1c9","Open","Vulnerability"
3,"High",824,"Cross-site Scripting (XSS)","[]","[]","[""CWE-79""]","vdharmava/Venu-SAST-RFP-Grok-JS-TS(main)","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83",,"Not Applicable","2025-06-24 03:54:04.769","Snyk Code","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83#issue-8555f46f-0977-430d-975f-de932a2afc1a","Open","Vulnerability"
3,"High",806,"Server-Side Request Forgery (SSRF)","[]","[]","[""CWE-918""]","vdharmava/Venu-SAST-RFP-Grok-JS-TS(main)","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83",,"Not Applicable","2025-06-24 03:54:04.769","Snyk Code","https://app.us.snyk.io/org/snyk-sandbox-exp/project/73a9d60d-cea6-44ef-82a9-6517f4e02e83#issue-6e4972bb-559f-44cb-bd7f-b30596ffd437","Open","Vulnerability"
